

2014.06.03 ― 06.06	6809.57	6657.05	29146	28383	8924.75	8792.17	307.49	388.00	数据明细
2014.05.26 ― 05.30	6806.72	6654.23	39786	37955	8922.14	8789.58	361.11	452.50	数据明细
2014.05.19 ― 05.23	6802.79	6650.42	37370	35859	8918.54	8786.08	321.12	396.25	数据明细
2014.05.12 ― 05.16	6799.11	6646.84	36800	35400	8915.19	8782.81	378.97	434.46	数据明细
2014.05.05 ― 05.09	6795.47	6643.27	32557	31590	8911.92	8779.59	353.29	416.21	数据明细
2014.04.28 ― 05.02	6792.27	6640.11	23623	24264	8909.07	8776.77	291.78	347.28	数据明细
2014.04.21 ― 04.25	6789.92	6637.67	39304	39018	8906.96	8774.56	445.89	499.24	数据明细
2014.04.14 ― 04.18	6786.05	6633.74	42615	42154	8903.48	8771.02	460.43	507.29	数据明细
2014.04.08 ― 04.11	6781.80	6629.47	34057	33538	8899.70	8767.19	459.64	487.38	数据明细



2014.03.31 ― 04.04	6778.41	6626.06	45351	44187	8896.69	8764.13	413.22	474.13	数据明细
2014.03.24 ― 03.28	6773.92	6621.61	86384	79264	8892.63	8760.10	517.91	573.99	数据明细
2014.03.17 ― 03.21	6765.26	6613.55	78777	71345	8884.61	8752.64	481.06	549.32	数据明细
2014.03.10 ― 03.14	6757.35	6606.28	78928	72357	8877.32	8745.94	488.70	551.80	数据明细
2014.03.03 ― 03.07	6749.43	6598.91	79720	74097	8870.05	8739.17	519.36	596.03	数据明细
2014.02.24 ― 02.28	6741.41	6591.35	91615	85610	8862.73	8732.26	586.89	672.76	数据明细
2014.02.17 ― 02.21	6732.19	6582.61	88603	84544	8854.28	8724.25	642.38	718.96	数据明细
2014.02.10 ― 02.14	6723.21	6573.88	73125	70449	8846.18	8716.35	584.64	687.75	数据明细
2014.02.07 ― 02.07	6715.76	6566.58	8110	7963	8839.52	8709.78	145.45	248.31	数据明细
2014.01.27 ― 01.31	6714.93	6565.75	30904	29920	8838.79	8709.04	336.64	458.81	数据明细
2014.01.20 ― 01.24	6711.86	6562.73	47503	45062	8836.04	8706.31	407.27	529.01	数据明细
2014.01.13 ― 01.17	6707.12	6558.16	39793	37361	8831.73	8702.15	357.35	462.45	数据明细
2014.01.06 ― 01.10	6703.18	6554.38	37464	35769	8828.17	8698.72	409.39	511.82	数据明细
2013.12.30 ― 01.03	6699.45	6550.74	33996	32683	8824.85	8695.48	347.71	454.35	数据明细
2013.12.23 ― 12.27	6696.06	6547.41	43088	40867	8821.82	8692.49	391.71	469.21	数据明细
2013.12.16 ― 12.20	6691.77	6543.27	42093	40074	8817.97	8688.76	459.44	506.33	数据明细
2013.12.09 ― 12.13	6687.58	6539.20	47648	45817	8814.20	8685.10	500.10	542.15	数据明细
2013.12.02 ― 12.06	6682.81	6534.53	51594	50226	8809.93	8680.90	582.19	627.49	数据明细
2013.11.25 ― 11.29	6677.60	6529.37	53096	51686	8805.30	8676.28	528.41	584.38	数据明细
2013.11.18 ― 11.22	6672.24	6524.06	72122	52441	8800.49	8671.49	563.55	591.64	数据明细



2013.11.11 ― 11.15	6664.95	6518.64	40118	37850	8793.82	8666.64	434.14	471.82	数据明细
2013.11.04 ― 11.08	6660.93	6514.78	40745	38696	8790.24	8663.18	432.56	480.76	数据明细
2013.10.28 ― 11.01	6656.83	6510.82	46278	44141	8786.62	8659.66	503.99	550.64	数据明细
2013.10.21 ― 10.25	6652.19	6506.31	52040	49998	8782.50	8655.63	619.96	649.34	数据明细
2013.10.14 ― 10.18	6646.92	6500.97	56765	54702	8777.85	8650.88	660.07	669.74	数据明细
2013.10.08 ― 10.11	6641.15	6495.31	40056	39019	8772.74	8645.84	560.58	582.94	数据明细
2013.09.30 ― 10.04	6637.10	6490.12	13373	12761	8769.19	8642.28	177.29	221.12	数据明细
2013.09.23 ― 09.27	6635.74	6488.81	61245	57758	8767.96	8641.09	632.80	627.71	数据明细
2013.09.16 ― 09.20	6629.54	6482.83	32666	31239	8762.42	8635.72	466.88	455.09	数据明细
2013.09.09 ― 09.13	6626.21	6479.59	52687	50164	8759.49	8632.85	756.12	679.16	数据明细
2013.09.02 ― 09.06	6620.48	6474.37	41607	40312	8754.76	8628.22	600.02	577.59	数据明细
2013.08.26 ― 08.30	6835.54	6912.87	47760	46034	8751.05	8624.53	627.96	615.51	数据明细
2013.08.19 ― 08.23	6830.78	6908.27	41128	39608	8746.69	8620.25	485.01	543.00	数据明细
2013.08.12 ― 08.16	6826.70	6904.32	38831	37417	8742.97	8616.59	548.96	592.81	数据明细
2013.08.05 ― 08.09	6822.84	6900.58	37675	36128	8739.48	8613.16	480.95	556.49	数据明细
2013.07.29 ― 08.02	6819.11	6896.96	38116	36548	8736.08	8609.82	426.08	509.69	数据明细
2013.07.22 ― 07.26	6815.32	6893.31	41945	40333	8732.64	8606.46	463.51	544.30	数据明细
2013.07.15 ― 07.19	6811.15	6889.26	40270	38726	8728.84	8602.72	478.12	538.06	数据明细
2013.07.08 ― 07.12	6807.13	6885.39	38295	36909	8725.21	8599.16	466.83	498.08	数据明细
2013.07.01 ― 07.05	6803.34	6881.70	41995	40493	8721.79	8595.78	417.85	474.26	数据明细



2013.06.24 ― 06.28	6799.15	6877.64	73778	68576	8718.03	8592.08	500.42	531.33	数据明细
2013.06.17 ― 06.21	6791.71	6870.67	50297	46530	8711.26	8585.68	429.51	474.81	数据明细
2013.06.13 ― 06.14	6786.71	6866.00	19498	18320	8706.67	8581.36	273.39	319.54	数据明细
2013.06.03 ― 06.07	6784.78	6864.16	47029	44031	8704.91	8579.67	532.40	572.21	数据明细
2013.05.27 ― 05.31	6780.11	6859.74	57357	53506	8700.67	8575.61	606.41	632.32	数据明细
2013.05.20 ― 05.24	6774.36	6854.36	57068	53299	8695.43	8570.65	616.93	649.44	数据明细
2013.05.13 ― 05.17	6768.65	6848.98	44824	41703	8690.25	8565.71	510.54	543.34	数据明细
2013.05.06 ― 05.10	6764.20	6844.80	43467	40064	8686.19	8561.85	482.57	519.58	数据明细
2013.05.02 ― 05.03	6759.89	6840.80	16335	15636	8682.29	8558.19	236.72	272.76	数据明细
2013.04.22 ― 04.26	6758.28	6839.25	49216	46390	8680.83	8556.76	481.69	509.95	数据明细
2013.04.15 ― 04.19	6753.39	6834.60	40244	37837	8676.34	8552.46	417.05	421.88	数据明细
2013.04.08 ― 04.12	6749.41	6830.84	39512	36603	8672.72	8548.99	431.23	427.56	数据明细
2013.04.01 ― 04.05	6745.50	6827.18	25308	23957	8669.19	8545.65	341.44	355.60	数据明细
2013.03.25 ― 03.29	6742.97	6824.78	103196	84807	8666.90	8543.45	540.51	510.36	数据明细
2013.03.18 ― 03.22	6732.63	6816.24	94277	76960	8657.14	8535.38	533.30	504.09	数据明细
2013.03.11 ― 03.15	6723.18	6808.47	89652	74418	8648.25	8528.07	525.90	509.40	数据明细
2013.03.04 ― 03.08	6714.18	6800.96	91448	79415	8639.83	8521.03	638.95	637.65	数据明细
2013.02.25 ― 03.01	6704.97	6792.89	83357	73565	8631.29	8513.52	558.72	560.65	数据明细
2013.02.18 ― 02.22	6696.59	6785.42	77342	69508	8623.53	8506.57	600.44	588.65	数据明细
2013.02.04 ― 02.08	6688.75	6778.34	43757	39998	8616.36	8500.04	573.42	536.06	数据明细



2013.01.28 ― 02.01	6684.37	6774.14	65880	57281	8612.41	8496.35	604.47	568.38	数据明细
2013.01.21 ― 01.25	6677.78	6768.36	66449	58603	8606.31	8490.97	585.92	583.27	数据明细
2013.01.14 ― 01.18	6670.79	6762.43	61763	56393	8600.13	8485.47	634.18	625.96	数据明细
2013.01.07 ― 01.11	6664.24	6756.57	49181	45321	8594.44	8480.18	554.85	555.64	数据明细
2012.12.31 ― 01.04	6668.39	7059.65	20510	20053	8589.98	8475.97	330.36	328.83	数据明细
2012.12.24 ― 12.28	6985.82	7057.67	55549	52130	8588.09	8474.10	529.54	519.46	数据明细
2012.12.17 ― 12.21	6980.35	7052.52	58052	53901	8582.96	8469.22	497.82	466.59	数据明细
2012.12.10 ― 12.14	6974.61	7047.17	53177	48566	8577.57	8464.16	444.54	415.47	数据明细
2012.12.03 ― 12.07	6969.35	7042.35	44286	40823	8572.63	8459.60	373.59	357.09	数据明细
2012.11.26 ― 11.30	6964.97	7038.30	49360	44573	8568.53	8455.78	301.49	306.66	数据明细
2012.11.19 ― 11.23	6960.08	7033.87	43432	39541	8563.89	8451.56	276.09	286.22	数据明细
2012.11.12 ― 11.16	6955.81	7029.96	40700	36627	8559.85	8447.83	320.73	325.95	数据明细
2012.11.05 ― 11.09	6951.81	7026.36	38000	34454	8556.07	8444.40	363.16	366.93	数据明细
2012.10.29 ― 11.02	6948.08	7022.97	41944	38413	8552.56	8441.19	361.75	354.90	数据明细
2012.10.22 ― 10.26	6943.97	7019.18	43984	40788	8548.68	8437.59	401.90	403.83	数据明细
2012.10.15 ― 10.19	6939.66	7015.18	37634	34878	8544.63	8433.80	367.24	382.71	数据明细
2012.10.08 ― 10.12	6936.01	7011.77	33364	31592	8541.21	8430.58	398.42	399.72	数据明细
2012.09.24 ― 09.28	6932.77	7008.71	63117	55089	8538.22	8427.71	357.21	357.13	数据明细
2012.09.17 ― 09.21	6926.53	7003.24	53662	47546	8532.26	8422.48	391.65	394.83	数据明细
2012.09.10 ― 09.14	6921.22	6998.52	55034	50933	8527.22	8417.98	481.51	487.52	数据明细



2012.09.03 ― 09.07	6915.75	6993.44	42711	39902	8522.07	8413.17	418.83	420.42	数据明细
2012.08.27 ― 08.31	6911.52	6989.47	52189	47662	8518.13	8409.42	360.51	372.17	数据明细
2012.08.20 ― 08.24	6906.36	6984.76	48924	44544	8513.25	8404.93	370.65	397.85	数据明细
2012.08.13 ― 08.17	6901.54	6980.35	45855	42457	8508.68	8400.73	379.40	391.34	数据明细
2012.08.06 ― 08.10	6897.04	6976.16	44496	41176	8504.45	8396.76	426.26	427.43	数据明细
2012.07.30 ― 08.03	6892.65	6972.10	41379	38180	8500.33	8392.91	336.28	348.92	数据明细
2012.07.23 ― 07.27	6888.59	6968.34	46281	42318	8496.52	8389.36	354.18	361.80	数据明细
2012.07.16 ― 07.20	6884.06	6964.17	43447	40872	8492.25	8385.41	413.05	420.58	数据明细
2012.07.09 ― 07.13	6879.81	6960.16	40064	37638	8488.28	8381.63	416.67	422.85	数据明细
2012.07.02 ― 07.06	6875.97	6956.49	37027	35204	8484.65	8378.17	416.01	427.37	数据明细
2012.06.25 ― 06.29	6872.40	6953.14	82189	71136	8481.36	8375.01	404.46	415.16	数据明细
2012.06.18 ― 06.22	6864.37	6946.17	55344	48980	8473.69	8368.34	377.85	394.01	数据明细
2012.06.11 ― 06.15	6858.94	6941.36	56451	50441	8468.52	8363.73	448.45	438.39	数据明细
2012.06.04 ― 06.08	6853.38	6936.37	48516	44594	8463.26	8358.99	498.06	462.64	数据明细
2012.05.28 ― 06.01	6848.62	6931.97	56795	53043	8458.79	8354.83	552.69	523.75	数据明细
2012.05.21 ― 05.25	6843.01	6926.72	52729	49211	8453.52	8349.86	504.60	469.88	数据明细
2012.05.14 ― 05.18	6837.83	6921.88	47946	45357	8448.68	8345.29	543.97	487.10	数据明细
2012.05.07 ― 05.11	6833.19	6917.42	47835	45712	8444.37	8341.08	579.87	533.52	数据明细
